Dataset;k;alpha;accuracy;weights;time
ThoraricSurgery;3;0.0;85.106;[0.180, 0.694, 0.064, 0.000, 0.061, 0.000, 0.000];5.579
ThoraricSurgery;3;0.1;85.106;[0.848, 0.000, 0.066, 0.000, 0.000, 0.000, 0.085];4.685
ThoraricSurgery;3;0.2;85.106;[0.848, 0.000, 0.066, 0.000, 0.000, 0.000, 0.085];4.524
ThoraricSurgery;3;0.3;85.106;[0.000, 0.931, 0.000, 0.000, 0.000, 0.000, 0.069];4.913
ThoraricSurgery;3;0.4;85.106;[0.000, 0.117, 0.000, 0.258, 0.625, 0.000, 0.000];5.789
ThoraricSurgery;3;0.5;85.106;[0.000, 0.877, 0.071, 0.053, 0.000, 0.000, 0.000];5.999
ThoraricSurgery;3;0.6;85.106;[0.788, 0.000, 0.123, 0.000, 0.000, 0.000, 0.088];4.862
ThoraricSurgery;3;0.7;85.106;[0.000, 0.722, 0.053, 0.000, 0.000, 0.000, 0.225];5.508
ThoraricSurgery;3;0.8;85.319;[0.294, 0.451, 0.000, 0.000, 0.006, 0.000, 0.248];5.7
ThoraricSurgery;3;0.9;84.894;[0.301, 0.376, 0.025, 0.000, 0.000, 0.000, 0.298];5.754
ThoraricSurgery;3;1.0;85.106;[0.497, 0.000, 0.042, 0.118, 0.000, 0.000, 0.344];5.65
ThoraricSurgery;3;1.0;85.106;[0.497, 0.000, 0.042, 0.118, 0.000, 0.000, 0.344];5.586
ThoraricSurgery;5;0.0;85.106;[0.861, 0.000, 0.068, 0.000, 0.000, 0.000, 0.071];4.717
ThoraricSurgery;5;0.1;85.106;[0.809, 0.000, 0.045, 0.000, 0.000, 0.000, 0.146];5.15
ThoraricSurgery;5;0.2;85.106;[0.809, 0.000, 0.045, 0.000, 0.000, 0.000, 0.146];5.164
ThoraricSurgery;5;0.3;85.106;[0.000, 0.884, 0.018, 0.000, 0.000, 0.000, 0.099];5.419
ThoraricSurgery;5;0.4;85.106;[0.025, 0.706, 0.269, 0.000, 0.000, 0.000, 0.000];5.459
ThoraricSurgery;5;0.5;84.894;[0.656, 0.000, 0.344, 0.000, 0.000, 0.000, 0.000];4.744
ThoraricSurgery;5;0.6;85.106;[0.000, 0.000, 0.088, 0.800, 0.000, 0.000, 0.111];5.305
ThoraricSurgery;5;0.7;84.468;[0.745, 0.000, 0.001, 0.000, 0.000, 0.000, 0.254];4.625
ThoraricSurgery;5;0.8;85.319;[0.669, 0.000, 0.000, 0.000, 0.000, 0.000, 0.331];4.504
ThoraricSurgery;5;0.9;85.106;[0.375, 0.000, 0.176, 0.000, 0.000, 0.000, 0.449];4.857
ThoraricSurgery;5;1.0;84.894;[0.422, 0.000, 0.267, 0.000, 0.000, 0.000, 0.311];4.896
ThoraricSurgery;5;1.0;84.894;[0.422, 0.000, 0.267, 0.000, 0.000, 0.000, 0.311];4.891
ThoraricSurgery;7;0.0;85.106;[0.838, 0.000, 0.000, 0.000, 0.000, 0.000, 0.162];4.397
ThoraricSurgery;7;0.1;85.106;[0.874, 0.000, 0.126, 0.000, 0.000, 0.000, 0.000];4.509
ThoraricSurgery;7;0.2;85.106;[0.874, 0.000, 0.126, 0.000, 0.000, 0.000, 0.000];4.947
ThoraricSurgery;7;0.3;85.106;[0.797, 0.000, 0.027, 0.000, 0.000, 0.000, 0.176];5.147
ThoraricSurgery;7;0.4;84.894;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];4.434
ThoraricSurgery;7;0.5;85.106;[0.554, 0.000, 0.446, 0.000, 0.000, 0.000, 0.000];4.661
ThoraricSurgery;7;0.6;85.106;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];4.232
ThoraricSurgery;7;0.7;85.106;[0.604, 0.000, 0.000, 0.000, 0.000, 0.000, 0.396];4.224
ThoraricSurgery;7;0.8;85.106;[0.000, 0.000, 0.019, 0.981, 0.000, 0.000, 0.000];5.221
ThoraricSurgery;7;0.9;85.106;[0.795, 0.000, 0.205, 0.000, 0.000, 0.000, 0.000];4.684
ThoraricSurgery;7;1.0;85.106;[0.787, 0.000, 0.213, 0.000, 0.000, 0.000, 0.000];4.656
ThoraricSurgery;7;1.0;85.106;[0.787, 0.000, 0.213, 0.000, 0.000, 0.000, 0.000];4.704
biodegradation;3;0.0;66.266;[0.121, 0.197, 0.088, 0.000, 0.197, 0.197, 0.200];53.116
biodegradation;3;0.1;66.266;[0.042, 0.000, 0.056, 0.049, 0.365, 0.365, 0.122];53.027
biodegradation;3;0.2;66.266;[0.000, 0.000, 0.183, 0.000, 0.660, 0.000, 0.157];38.314
biodegradation;3;0.3;66.266;[0.139, 0.335, 0.000, 0.000, 0.000, 0.335, 0.192];49.231
biodegradation;3;0.4;66.266;[0.153, 0.594, 0.000, 0.000, 0.000, 0.000, 0.253];42.674
biodegradation;3;0.5;66.266;[0.127, 0.212, 0.104, 0.000, 0.212, 0.212, 0.133];52.702
biodegradation;3;0.6;66.266;[0.000, 0.000, 0.221, 0.000, 0.614, 0.000, 0.165];37.93
biodegradation;3;0.7;65.128;[0.000, 0.000, 0.224, 0.000, 0.625, 0.000, 0.151];38.021
