sep=;
Dataset;k;accuracy;individual accuracies;time
bupa;7;50.2381;[68.1935, 52.2581, 67.7097, 57.1935, 68.5161, 57.9355, 67.9677];12.379 s
bupa;5;51.4762;[65.3226, 52.9355, 67.7742, 57.1935, 66.6129, 56.6129, 67.7419];15.43 s
bupa;3;50.2857;[65.2258, 51.0323, 62.6129, 56.2903, 65.3548, 54.4194, 64.4839];17.303 s
sonar;5;48.8889;[77.1111, 44.0556, 77.3889, 57.7778, 75.0556, 62.2778, 80.7222];16.983 s
sonar;7;46.9048;[71.8889, 42, 71.8333, 54.7222, 69.2778, 60.2222, 76.2222];16.989 s
sonar;3;49.3651;[78.8333, 45.3889, 80, 63.8333, 79.3889, 65.8889, 81.2222];17.061 s
ThoraricSurgery;3;83.8298;[80.9762, 85.1429, 81.8333, 67.9286, 79.5238, 85.0952, 81.9762];17.322 s
ThoraricSurgery;5;84.4681;[83.8571, 84.4762, 83.7619, 82, 80.2381, 85.0952, 84];17.331 s
ThoraricSurgery;7;85.1064;[84.4048, 85.1667, 84.5952, 83.6429, 85.1429, 85.0952, 84.8095];17.339 s
ionosphere;5;24.0741;[85.0312, 42.5, 84.8125, 54.9062, 57.9375, 58.1562, 89.375];16.384 s
pima;3;59.7628;[69.4638, 57.3913, 63.7681, 49.7391, 65.7536, 48.2609, 68.9855];17.365 s
ionosphere;3;27.8704;[85.4375, 41.9688, 85.875, 55.4375, 58.5625, 59.2188, 90.8125];16.368 s
ionosphere;7;22.963;[83.875, 43.4688, 84.5625, 58.9688, 56.6875, 60.0312, 89.0312];16.328 s
pima;5;57.5515;[72.2029, 58.4928, 67.4493, 37.0725, 66.8116, 47.3043, 70.5362];17.389 s
wdbc;5;61.3743;[92.8431, 51.2353, 92.4118, 36.8627, 94.2157, 37.8235, 95.3333];16.393 s
pima;7;57.6883;[73.3768, 58.5507, 68.2464, 35.029, 67.5942, 47.4783, 71.5942];18.394 s
wdbc;3;61.9006;[91.8431, 52.0588, 92.4118, 36.8627, 94.2745, 37.7843, 95.6667];22.533 s
wdbc;7;61.0136;[92.7647, 53.1765, 92.3137, 36.8627, 94.1176, 38.098, 95.2745];22.653 s
vehicle;3;23.3366;[66.6104, 24.7922, 68.2468, 25.5844, 63.987, 25.1948, 67.961];23.912 s
vehicle;5;22.8714;[65.1818, 25.3636, 67.5974, 25.5844, 63.987, 25.026, 67.9481];27.664 s
vehicle;7;22.6163;[64.2468, 24.5325, 66.8312, 25.5844, 65.7273, 25.0779, 69.0779];27.676 s
biodegradation;5;60.2092;[76.2316, 57.2737, 71.6947, 64.6526, 58.0526, 62.2947, 83.5789];49.761 s
biodegradation;3;60.3979;[74.8632, 60.4526, 68.8526, 63.2737, 54.6421, 55.9158, 82.5158];51.723 s
biodegradation;7;59.3555;[75.3368, 56.5368, 71.2105, 64.5053, 56.1368, 61.6526, 83.5053];51.938 s
seismic-bumps;3;92.7625;[92.0043, 93.4378, 91.9957, 91.4421, 93.4464, 93.4378, 92.2017];114.701 s
seismic-bumps;5;93.1891;[92.9442, 93.4378, 92.867, 93.279, 93.4464, 93.4378, 92.9614];114.991 s
seismic-bumps;7;93.0714;[93.1631, 93.4378, 93.2275, 93.3777, 93.4464, 93.4378, 93.1845];115.837 s
