sep=;
Dataset;k;alpha;accuracy;weights;time
bupa;3;0.000;57.800;[0.071, 0.314, 0.000, 0.000, 0.142, 0.179, 0.294];2.211
ThoraricSurgery;7;0.000;85.106;[0.838, 0.000, 0.000, 0.000, 0.000, 0.000, 0.162];4.397
ThoraricSurgery;3;0.200;85.106;[0.848, 0.000, 0.066, 0.000, 0.000, 0.000, 0.085];4.524
ThoraricSurgery;7;0.100;85.106;[0.874, 0.000, 0.126, 0.000, 0.000, 0.000, 0.000];4.509
ThoraricSurgery;3;0.100;85.106;[0.848, 0.000, 0.066, 0.000, 0.000, 0.000, 0.085];4.685
ThoraricSurgery;5;0.000;85.106;[0.861, 0.000, 0.068, 0.000, 0.000, 0.000, 0.071];4.717
ThoraricSurgery;3;0.300;85.106;[0.000, 0.931, 0.000, 0.000, 0.000, 0.000, 0.069];4.913
ThoraricSurgery;3;0.000;85.106;[0.180, 0.694, 0.064, 0.000, 0.061, 0.000, 0.000];5.579
ThoraricSurgery;3;0.400;85.106;[0.000, 0.117, 0.000, 0.258, 0.625, 0.000, 0.000];5.789
ThoraricSurgery;3;0.500;85.106;[0.000, 0.877, 0.071, 0.053, 0.000, 0.000, 0.000];5.999
bupa;3;0.100;58.095;[0.253, 0.538, 0.052, 0.000, 0.000, 0.000, 0.157];2.160
bupa;5;0.000;57.224;[0.164, 0.000, 0.000, 0.000, 0.161, 0.413, 0.262];2.301
ThoraricSurgery;3;0.600;85.106;[0.788, 0.000, 0.123, 0.000, 0.000, 0.000, 0.088];4.862
bupa;3;0.200;58.095;[0.222, 0.582, 0.110, 0.000, 0.000, 0.000, 0.086];2.254
bupa;7;0.000;57.233;[0.371, 0.182, 0.000, 0.000, 0.153, 0.060, 0.234];2.467
bupa;5;0.100;57.519;[0.193, 0.402, 0.360, 0.000, 0.004, 0.000, 0.040];2.340
ThoraricSurgery;7;0.200;85.106;[0.874, 0.000, 0.126, 0.000, 0.000, 0.000, 0.000];4.947
ThoraricSurgery;5;0.100;85.106;[0.809, 0.000, 0.045, 0.000, 0.000, 0.000, 0.146];5.150
ThoraricSurgery;3;0.700;85.106;[0.000, 0.722, 0.053, 0.000, 0.000, 0.000, 0.225];5.508
ThoraricSurgery;3;0.800;85.319;[0.294, 0.451, 0.000, 0.000, 0.006, 0.000, 0.248];5.700
ThoraricSurgery;5;0.200;85.106;[0.809, 0.000, 0.045, 0.000, 0.000, 0.000, 0.146];5.164
ThoraricSurgery;7;0.300;85.106;[0.797, 0.000, 0.027, 0.000, 0.000, 0.000, 0.176];5.147
bupa;3;0.300;58.095;[0.000, 0.633, 0.000, 0.000, 0.000, 0.271, 0.096];2.109
bupa;7;0.100;58.095;[0.137, 0.575, 0.000, 0.000, 0.125, 0.000, 0.164];2.087
bupa;5;0.200;57.224;[0.172, 0.063, 0.361, 0.000, 0.000, 0.345, 0.060];2.310
ThoraricSurgery;3;0.900;84.894;[0.301, 0.376, 0.025, 0.000, 0.000, 0.000, 0.298];5.754
bupa;3;0.400;58.095;[0.095, 0.510, 0.000, 0.000, 0.000, 0.323, 0.072];2.181
bupa;7;0.200;57.810;[0.218, 0.358, 0.000, 0.000, 0.150, 0.000, 0.274];2.067
ThoraricSurgery;5;0.300;85.106;[0.000, 0.884, 0.018, 0.000, 0.000, 0.000, 0.099];5.419
ThoraricSurgery;7;0.400;84.894;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];4.434
bupa;5;0.300;58.095;[0.000, 0.386, 0.000, 0.141, 0.188, 0.285, 0.000];2.270
ThoraricSurgery;7;0.500;85.106;[0.554, 0.000, 0.446, 0.000, 0.000, 0.000, 0.000];4.661
ThoraricSurgery;3;1.000;85.106;[0.497, 0.000, 0.042, 0.118, 0.000, 0.000, 0.344];5.650
bupa;3;0.500;58.095;[0.000, 0.663, 0.000, 0.241, 0.000, 0.000, 0.096];2.035
bupa;7;0.300;58.943;[0.000, 0.160, 0.000, 0.339, 0.188, 0.010, 0.303];2.280
bupa;5;0.400;58.095;[0.118, 0.538, 0.000, 0.000, 0.000, 0.288, 0.055];2.194
ThoraricSurgery;5;0.400;85.106;[0.025, 0.706, 0.269, 0.000, 0.000, 0.000, 0.000];5.459
ThoraricSurgery;7;0.600;85.106;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];4.232
ThoraricSurgery;3;1.000;85.106;[0.497, 0.000, 0.042, 0.118, 0.000, 0.000, 0.344];5.586
ThoraricSurgery;5;0.500;84.894;[0.656, 0.000, 0.344, 0.000, 0.000, 0.000, 0.000];4.744
bupa;7;0.400;58.095;[0.000, 0.525, 0.000, 0.000, 0.000, 0.250, 0.225];2.007
bupa;3;0.600;55.457;[0.095, 0.352, 0.000, 0.000, 0.000, 0.403, 0.150];2.087
bupa;5;0.500;58.095;[0.000, 0.516, 0.277, 0.000, 0.000, 0.000, 0.207];1.928
ThoraricSurgery;5;0.600;85.106;[0.000, 0.000, 0.088, 0.800, 0.000, 0.000, 0.111];5.305
bupa;3;0.700;58.095;[0.000, 0.515, 0.000, 0.000, 0.037, 0.223, 0.225];2.150
ThoraricSurgery;7;0.700;85.106;[0.604, 0.000, 0.000, 0.000, 0.000, 0.000, 0.396];4.224
bupa;7;0.500;58.095;[0.000, 0.673, 0.000, 0.262, 0.000, 0.000, 0.065];2.078
bupa;5;0.600;58.095;[0.265, 0.499, 0.009, 0.000, 0.000, 0.227, 0.000];2.209
bupa;3;0.800;58.095;[0.000, 0.500, 0.000, 0.000, 0.147, 0.050, 0.302];2.129
ThoraricSurgery;5;0.700;84.468;[0.745, 0.000, 0.001, 0.000, 0.000, 0.000, 0.254];4.625
ThoraricSurgery;7;0.800;85.106;[0.000, 0.000, 0.019, 0.981, 0.000, 0.000, 0.000];5.221
bupa;7;0.600;57.795;[0.104, 0.295, 0.000, 0.000, 0.209, 0.219, 0.172];2.250
bupa;5;0.700;58.095;[0.000, 0.591, 0.000, 0.000, 0.035, 0.303, 0.071];2.205
ThoraricSurgery;5;0.800;85.319;[0.669, 0.000, 0.000, 0.000, 0.000, 0.000, 0.331];4.504
bupa;3;0.900;49.924;[0.300, 0.407, 0.000, 0.010, 0.000, 0.167, 0.116];2.396
ThoraricSurgery;7;0.900;85.106;[0.795, 0.000, 0.205, 0.000, 0.000, 0.000, 0.000];4.684
bupa;7;0.700;58.095;[0.296, 0.129, 0.000, 0.253, 0.000, 0.248, 0.074];2.350
bupa;5;0.800;55.105;[0.000, 0.270, 0.312, 0.000, 0.294, 0.000, 0.123];2.075
bupa;3;1.000;58.643;[0.010, 0.000, 0.086, 0.256, 0.475, 0.000, 0.172];2.208
ThoraricSurgery;7;1.000;85.106;[0.787, 0.000, 0.213, 0.000, 0.000, 0.000, 0.000];4.656
ThoraricSurgery;5;0.900;85.106;[0.375, 0.000, 0.176, 0.000, 0.000, 0.000, 0.449];4.857
bupa;5;0.900;58.095;[0.304, 0.322, 0.000, 0.298, 0.018, 0.057, 0.001];2.434
bupa;7;0.800;57.214;[0.063, 0.000, 0.089, 0.193, 0.443, 0.071, 0.142];2.500
bupa;7;0.900;58.095;[0.000, 0.175, 0.199, 0.202, 0.170, 0.000, 0.253];2.290
bupa;3;1.000;58.095;[0.043, 0.227, 0.137, 0.058, 0.252, 0.219, 0.064];2.622
ThoraricSurgery;7;1.000;85.106;[0.787, 0.000, 0.213, 0.000, 0.000, 0.000, 0.000];4.704
ThoraricSurgery;5;1.000;84.894;[0.422, 0.000, 0.267, 0.000, 0.000, 0.000, 0.311];4.896
bupa;5;1.000;58.095;[0.000, 0.161, 0.252, 0.067, 0.152, 0.367, 0.000];2.525
bupa;7;1.000;56.010;[0.045, 0.032, 0.247, 0.000, 0.210, 0.000, 0.466];2.204
bupa;5;1.000;58.386;[0.058, 0.432, 0.000, 0.026, 0.313, 0.019, 0.151];2.421
ThoraricSurgery;5;1.000;84.894;[0.422, 0.000, 0.267, 0.000, 0.000, 0.000, 0.311];4.891
bupa;7;1.000;58.081;[0.156, 0.133, 0.211, 0.102, 0.202, 0.195, 0.000];2.578
sonar;3;0.000;79.794;[0.000, 0.012, 0.187, 0.000, 0.104, 0.086, 0.612];3.696
sonar;3;0.100;69.159;[0.260, 0.000, 0.000, 0.000, 0.102, 0.278, 0.359];3.046
pima;3;0.100;55.339;[0.027, 0.000, 0.390, 0.306, 0.095, 0.000, 0.182];9.294
pima;5;0.100;65.108;[0.000, 0.000, 0.000, 0.850, 0.059, 0.000, 0.091];8.276
pima;3;0.000;66.282;[0.100, 0.155, 0.562, 0.153, 0.000, 0.000, 0.030];9.901
pima;3;0.200;58.604;[0.000, 0.000, 0.000, 0.485, 0.254, 0.000, 0.261];8.302
pima;5;0.000;65.108;[0.153, 0.551, 0.000, 0.188, 0.038, 0.069, 0.000];10.418
pima;5;0.200;65.108;[0.011, 0.000, 0.000, 0.866, 0.048, 0.000, 0.075];8.631
pima;7;0.100;65.108;[0.000, 0.000, 0.530, 0.317, 0.000, 0.000, 0.154];8.554
pima;7;0.000;65.108;[0.093, 0.000, 0.661, 0.162, 0.068, 0.017, 0.000];10.158
pima;3;0.300;34.892;[0.000, 0.000, 0.254, 0.000, 0.102, 0.421, 0.223];9.263
sonar;3;0.200;81.294;[0.000, 0.095, 0.105, 0.210, 0.000, 0.000, 0.589];3.478
sonar;3;0.300;76.976;[0.172, 0.143, 0.000, 0.000, 0.000, 0.000, 0.685];2.946
sonar;3;0.400;78.302;[0.185, 0.196, 0.000, 0.000, 0.000, 0.000, 0.619];2.953
pima;7;0.200;37.237;[0.000, 0.000, 0.000, 0.435, 0.199, 0.000, 0.366];8.168
pima;5;0.400;65.108;[0.236, 0.000, 0.000, 0.522, 0.000, 0.000, 0.242];8.380
pima;5;0.300;67.587;[0.000, 0.416, 0.165, 0.190, 0.041, 0.000, 0.187];10.037
pima;3;0.400;64.067;[0.346, 0.000, 0.182, 0.273, 0.007, 0.000, 0.193];9.366
pima;5;0.500;65.108;[0.000, 0.646, 0.000, 0.280, 0.000, 0.000, 0.074];8.944
pima;7;0.300;65.241;[0.000, 0.000, 0.249, 0.164, 0.332, 0.040, 0.216];10.249
pima;7;0.400;64.201;[0.137, 0.000, 0.226, 0.311, 0.000, 0.000, 0.326];8.939
pima;3;0.500;65.108;[0.000, 0.059, 0.000, 0.149, 0.085, 0.149, 0.559];10.606
sonar;3;0.500;78.357;[0.046, 0.047, 0.000, 0.258, 0.000, 0.000, 0.648];3.361
pima;3;0.600;34.892;[0.000, 0.000, 0.148, 0.000, 0.260, 0.592, 0.000];8.545
sonar;3;0.600;60.976;[0.020, 0.391, 0.000, 0.245, 0.000, 0.000, 0.345];3.370
pima;5;0.600;65.108;[0.244, 0.722, 0.034, 0.000, 0.000, 0.000, 0.000];8.400
sonar;3;0.700;60.500;[0.059, 0.348, 0.000, 0.192, 0.000, 0.000, 0.401];3.347
pima;7;0.500;65.238;[0.000, 0.034, 0.000, 0.316, 0.045, 0.000, 0.605];9.507
pima;5;0.700;65.108;[0.000, 0.000, 0.054, 0.738, 0.082, 0.070, 0.056];10.050
pima;3;0.700;61.982;[0.064, 0.000, 0.045, 0.230, 0.481, 0.031, 0.149];10.463
pima;5;0.800;65.108;[0.211, 0.695, 0.034, 0.000, 0.060, 0.000, 0.000];8.281
sonar;3;0.800;58.143;[0.000, 0.267, 0.000, 0.340, 0.000, 0.000, 0.393];3.385
pima;7;0.600;64.848;[0.000, 0.000, 0.078, 0.096, 0.502, 0.296, 0.028];10.067
pima;3;0.800;34.892;[0.036, 0.000, 0.063, 0.257, 0.387, 0.257, 0.000];9.705
pima;7;0.700;62.245;[0.000, 0.000, 0.108, 0.109, 0.418, 0.137, 0.227];10.116
sonar;3;0.900;66.849;[0.028, 0.173, 0.000, 0.272, 0.000, 0.000, 0.526];3.361
