sep=;;;;;;
Dataset;k;accuracy;alpha;weights;individual_accs;time
biodegradation;3;66.36;0.7;[0.000, 0.202, 0.261, 0.347, 0.000, 0.000, 0.190];[0.747, 0.605, 0.713, 0.657, 0.615, 0.609, 0.778];60.393
biodegradation;3;66.266;0.2;[0.000, 0.000, 0.256, 0.430, 0.095, 0.000, 0.219];[0.749, 0.605, 0.721, 0.663, 0.605, 0.608, 0.809];53.242
biodegradation;3;66.266;0;[0.157, 0.187, 0.005, 0.000, 0.187, 0.187, 0.277];[0.717, 0.605, 0.708, 0.661, 0.605, 0.605, 0.787];61.496
biodegradation;3;66.266;0.9;[0.000, 0.286, 0.284, 0.266, 0.000, 0.000, 0.164];[0.732, 0.605, 0.714, 0.658, 0.616, 0.609, 0.789];60.069
biodegradation;3;66.266;0.8;[0.000, 0.154, 0.300, 0.376, 0.000, 0.000, 0.170];[0.747, 0.605, 0.717, 0.658, 0.615, 0.609, 0.767];60.479
biodegradation;3;66.266;0.4;[0.201, 0.240, 0.053, 0.262, 0.000, 0.000, 0.244];[0.748, 0.605, 0.726, 0.649, 0.612, 0.615, 0.777];62.618
biodegradation;3;66.266;0.5;[0.121, 0.172, 0.226, 0.032, 0.172, 0.172, 0.106];[0.697, 0.605, 0.719, 0.654, 0.605, 0.605, 0.813];70.001
biodegradation;3;66.266;1;[0.000, 0.320, 0.301, 0.225, 0.000, 0.000, 0.154];[0.732, 0.605, 0.714, 0.658, 0.615, 0.606, 0.789];58.419
biodegradation;3;66.266;1;[0.000, 0.320, 0.301, 0.225, 0.000, 0.000, 0.154];[0.732, 0.605, 0.714, 0.658, 0.615, 0.606, 0.789];58.317
biodegradation;3;66.265;0.3;[0.153, 0.000, 0.000, 0.313, 0.315, 0.000, 0.220];[0.700, 0.605, 0.732, 0.657, 0.607, 0.605, 0.736];51.929
biodegradation;3;66.171;0.1;[0.257, 0.000, 0.116, 0.090, 0.181, 0.181, 0.174];[0.700, 0.605, 0.723, 0.646, 0.605, 0.605, 0.801];62.191
biodegradation;3;65.982;0.6;[0.000, 0.000, 0.253, 0.419, 0.134, 0.000, 0.195];[0.736, 0.605, 0.714, 0.650, 0.605, 0.605, 0.811];53.892
biodegradation;5;66.267;0.4;[0.246, 0.449, 0.000, 0.126, 0.000, 0.000, 0.179];[0.755, 0.599, 0.733, 0.649, 0.617, 0.610, 0.791];57.062
biodegradation;5;66.266;0.3;[0.097, 0.000, 0.000, 0.152, 0.542, 0.000, 0.209];[0.716, 0.599, 0.733, 0.659, 0.600, 0.599, 0.760];50.987
biodegradation;5;66.266;0.2;[0.013, 0.000, 0.162, 0.561, 0.087, 0.000, 0.177];[0.763, 0.599, 0.734, 0.663, 0.599, 0.603, 0.815];53.828
biodegradation;5;66.266;0.5;[0.201, 0.186, 0.142, 0.009, 0.186, 0.186, 0.091];[0.702, 0.599, 0.736, 0.657, 0.599, 0.599, 0.813];67.763
biodegradation;5;66.266;0.9;[0.027, 0.429, 0.232, 0.000, 0.150, 0.000, 0.162];[0.741, 0.599, 0.722, 0.662, 0.614, 0.604, 0.800];51.853
biodegradation;5;66.266;1;[0.022, 0.579, 0.258, 0.000, 0.000, 0.000, 0.141];[0.741, 0.599, 0.721, 0.662, 0.613, 0.600, 0.800];51.905
biodegradation;5;66.266;1;[0.022, 0.579, 0.258, 0.000, 0.000, 0.000, 0.141];[0.741, 0.599, 0.721, 0.662, 0.613, 0.600, 0.800];52.022
biodegradation;5;66.077;0.8;[0.048, 0.353, 0.239, 0.161, 0.000, 0.000, 0.199];[0.760, 0.599, 0.728, 0.662, 0.613, 0.604, 0.776];59.345
biodegradation;5;66.076;0;[0.294, 0.149, 0.077, 0.000, 0.149, 0.149, 0.183];[0.714, 0.599, 0.709, 0.660, 0.599, 0.599, 0.800];59.853
biodegradation;5;65.981;0.7;[0.016, 0.420, 0.247, 0.139, 0.000, 0.000, 0.179];[0.762, 0.599, 0.720, 0.659, 0.613, 0.603, 0.787];59.559
biodegradation;5;65.411;0.6;[0.007, 0.121, 0.261, 0.225, 0.121, 0.121, 0.145];[0.741, 0.599, 0.721, 0.663, 0.599, 0.599, 0.829];69.394
biodegradation;5;61.519;0.1;[0.024, 0.000, 0.228, 0.143, 0.249, 0.249, 0.107];[0.718, 0.599, 0.729, 0.642, 0.599, 0.599, 0.803];59.923
biodegradation;7;66.266;0.2;[0.186, 0.668, 0.038, 0.000, 0.000, 0.000, 0.108];[0.755, 0.542, 0.727, 0.663, 0.543, 0.550, 0.818];52.507
biodegradation;7;66.266;0.4;[0.216, 0.622, 0.000, 0.000, 0.000, 0.000, 0.163];[0.746, 0.542, 0.731, 0.655, 0.567, 0.564, 0.802];50.03
biodegradation;7;66.266;0;[0.237, 0.196, 0.000, 0.000, 0.196, 0.196, 0.174];[0.724, 0.542, 0.704, 0.661, 0.542, 0.542, 0.806];58.498
biodegradation;7;66.266;0.3;[0.107, 0.321, 0.000, 0.000, 0.000, 0.321, 0.251];[0.725, 0.542, 0.736, 0.657, 0.550, 0.542, 0.760];58.022
biodegradation;7;66.266;0.5;[0.187, 0.228, 0.026, 0.000, 0.228, 0.228, 0.102];[0.707, 0.542, 0.736, 0.662, 0.542, 0.542, 0.818];63.308
biodegradation;7;66.266;0.1;[0.000, 0.238, 0.092, 0.105, 0.238, 0.238, 0.089];[0.726, 0.542, 0.713, 0.646, 0.542, 0.542, 0.805];69.125
biodegradation;7;66.266;0.6;[0.000, 0.238, 0.155, 0.000, 0.238, 0.238, 0.131];[0.743, 0.542, 0.733, 0.664, 0.542, 0.542, 0.830];62.946
biodegradation;7;66.266;0.8;[0.000, 0.670, 0.197, 0.000, 0.000, 0.000, 0.133];[0.752, 0.542, 0.735, 0.663, 0.558, 0.551, 0.780];52.157
biodegradation;7;66.266;0.9;[0.000, 0.721, 0.138, 0.000, 0.000, 0.000, 0.141];[0.747, 0.542, 0.733, 0.663, 0.565, 0.551, 0.803];51.336
biodegradation;7;66.266;0.7;[0.102, 0.600, 0.107, 0.046, 0.000, 0.000, 0.145];[0.753, 0.542, 0.733, 0.661, 0.558, 0.550, 0.794];63.638
biodegradation;7;66.266;1;[0.000, 0.717, 0.148, 0.000, 0.000, 0.000, 0.136];[0.747, 0.542, 0.734, 0.663, 0.558, 0.545, 0.803];52.656
biodegradation;7;66.266;1;[0.000, 0.717, 0.148, 0.000, 0.000, 0.000, 0.136];[0.747, 0.542, 0.734, 0.663, 0.558, 0.545, 0.803];52.53
bupa;3;58.938;1;[0.073, 0.182, 0.155, 0.000, 0.160, 0.220, 0.210];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];2.486
bupa;3;58.11;0.5;[0.555, 0.000, 0.000, 0.366, 0.059, 0.000, 0.020];[0.511, 0.526, 0.517, 0.451, 0.537, 0.579, 0.534];2.208
bupa;3;58.095;0.4;[0.000, 0.064, 0.000, 0.514, 0.000, 0.365, 0.058];[0.511, 0.526, 0.517, 0.579, 0.567, 0.455, 0.555];2.481
bupa;3;58.086;0.3;[0.351, 0.085, 0.000, 0.000, 0.306, 0.242, 0.016];[0.511, 0.533, 0.626, 0.579, 0.512, 0.455, 0.555];2.421
bupa;3;57.79;0.6;[0.185, 0.033, 0.000, 0.325, 0.050, 0.343, 0.064];[0.511, 0.526, 0.517, 0.579, 0.512, 0.455, 0.512];2.574
bupa;3;57.219;1;[0.016, 0.217, 0.336, 0.049, 0.243, 0.000, 0.139];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];2.368
bupa;3;56.871;0;[0.360, 0.206, 0.000, 0.052, 0.287, 0.052, 0.044];[0.511, 0.532, 0.626, 0.579, 0.512, 0.579, 0.512];2.685
bupa;3;55.376;0.9;[0.276, 0.160, 0.115, 0.000, 0.366, 0.000, 0.082];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];2.334
bupa;3;54.595;0.7;[0.025, 0.020, 0.008, 0.412, 0.231, 0.212, 0.092];[0.511, 0.526, 0.517, 0.579, 0.512, 0.435, 0.512];2.801
