sep=;
sep=;
Dataset;k;alpha;accuracy;weights;individual_accs;time
bupa;5;0.300;58.095;[0.000, 0.588, 0.000, 0.000, 0.000, 0.412, 0.000];[0.523, 0.527, 0.622, 0.575, 0.518, 0.448, 0.573];2.131
bupa;5;0.100;57.800;[0.127, 0.454, 0.141, 0.000, 0.000, 0.000, 0.279];[0.523, 0.528, 0.519, 0.567, 0.574, 0.575, 0.518];2.186
bupa;5;0.000;55.452;[0.183, 0.277, 0.000, 0.000, 0.330, 0.000, 0.210];[0.523, 0.527, 0.622, 0.567, 0.518, 0.575, 0.518];2.199
bupa;5;0.200;58.095;[0.071, 0.582, 0.116, 0.000, 0.000, 0.000, 0.231];[0.523, 0.528, 0.519, 0.567, 0.574, 0.575, 0.518];2.212
bupa;3;0.100;56.905;[0.178, 0.117, 0.000, 0.351, 0.000, 0.000, 0.354];[0.511, 0.532, 0.538, 0.579, 0.564, 0.579, 0.512];2.275
bupa;3;0.500;58.110;[0.474, 0.000, 0.108, 0.370, 0.049, 0.000, 0.000];[0.511, 0.526, 0.517, 0.451, 0.537, 0.579, 0.534];2.234
bupa;3;0.300;57.738;[0.088, 0.090, 0.000, 0.314, 0.188, 0.321, 0.000];[0.511, 0.533, 0.626, 0.579, 0.512, 0.455, 0.555];2.455
bupa;3;0.000;52.290;[0.055, 0.272, 0.000, 0.179, 0.154, 0.179, 0.161];[0.511, 0.532, 0.626, 0.579, 0.512, 0.579, 0.512];2.564
bupa;3;0.400;58.095;[0.000, 0.058, 0.061, 0.490, 0.000, 0.378, 0.013];[0.511, 0.526, 0.517, 0.579, 0.567, 0.455, 0.555];2.529
bupa;3;0.200;58.095;[0.286, 0.163, 0.024, 0.164, 0.000, 0.164, 0.199];[0.511, 0.532, 0.538, 0.579, 0.564, 0.579, 0.512];2.582
bupa;5;0.600;58.095;[0.000, 0.546, 0.000, 0.000, 0.000, 0.371, 0.083];[0.523, 0.515, 0.508, 0.575, 0.518, 0.448, 0.518];2.041
bupa;5;0.500;58.095;[0.000, 0.511, 0.147, 0.168, 0.000, 0.000, 0.175];[0.523, 0.515, 0.508, 0.416, 0.571, 0.575, 0.566];2.199
bupa;5;0.400;58.095;[0.042, 0.405, 0.000, 0.154, 0.000, 0.400, 0.000];[0.523, 0.515, 0.508, 0.567, 0.585, 0.448, 0.573];2.268
bupa;3;0.600;58.348;[0.000, 0.021, 0.000, 0.425, 0.017, 0.417, 0.120];[0.511, 0.526, 0.517, 0.579, 0.512, 0.455, 0.512];2.282
bupa;7;0.000;58.376;[0.215, 0.000, 0.000, 0.203, 0.226, 0.000, 0.356];[0.514, 0.552, 0.592, 0.531, 0.511, 0.575, 0.511];2.097
bupa;3;0.700;56.571;[0.000, 0.073, 0.334, 0.082, 0.282, 0.229, 0.000];[0.511, 0.526, 0.517, 0.579, 0.512, 0.435, 0.512];2.364
bupa;5;0.700;56.619;[0.000, 0.466, 0.000, 0.000, 0.045, 0.322, 0.166];[0.523, 0.515, 0.508, 0.575, 0.518, 0.414, 0.518];2.150
bupa;3;0.800;55.738;[0.119, 0.128, 0.138, 0.000, 0.266, 0.127, 0.221];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];2.399
bupa;7;0.100;58.090;[0.407, 0.000, 0.189, 0.190, 0.000, 0.000, 0.214];[0.514, 0.552, 0.550, 0.531, 0.568, 0.575, 0.511];2.062
bupa;7;0.200;50.500;[0.363, 0.000, 0.082, 0.349, 0.000, 0.000, 0.206];[0.514, 0.552, 0.550, 0.531, 0.568, 0.575, 0.511];2.037
bupa;5;0.800;56.929;[0.105, 0.179, 0.000, 0.000, 0.162, 0.313, 0.241];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];2.202
bupa;3;0.900;55.424;[0.000, 0.151, 0.182, 0.121, 0.299, 0.071, 0.175];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];2.583
ThoraricSurgery;3;0.100;85.106;[0.767, 0.070, 0.064, 0.000, 0.000, 0.000, 0.099];[0.817, 0.789, 0.796, 0.851, 0.827, 0.843, 0.809];6.061
bupa;3;1.000;49.310;[0.142, 0.141, 0.219, 0.000, 0.244, 0.071, 0.182];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];2.531
ThoraricSurgery;3;0.000;85.106;[0.270, 0.075, 0.049, 0.586, 0.000, 0.000, 0.021];[0.816, 0.804, 0.835, 0.851, 0.827, 0.828, 0.840];6.881
ThoraricSurgery;7;0.000;85.106;[0.604, 0.000, 0.000, 0.000, 0.000, 0.000, 0.396];[0.827, 0.841, 0.833, 0.851, 0.851, 0.851, 0.829];5.138
bupa;5;0.900;58.095;[0.159, 0.392, 0.045, 0.167, 0.000, 0.004, 0.232];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];2.798
