sep=;
Dataset;k;accuracy;weights;time
bupa;5;75.6286;[0.469333, 0.229805, 0.0338831, 0, 0.047442, 0, 0.219538]
bupa;7;77.6857;[0.269355, 0.136642, 0.281774, 0, 0.0738443, 0, 0.238385]
bupa;3;79.4619;[0.143938, 0.185863, 0.232877, 0, 0.165311, 0, 0.272011]
sonar;5;87.4603;[0.249335, 0, 0.130371, 0, 0.250367, 0, 0.369927]
sonar;7;84.6032;[0.230473, 0, 0.298209, 0.0231363, 0.178778, 0, 0.269404]
sonar;3;88.4921;[0.0176983, 0, 0.432119, 0, 0.289693, 0.0316333, 0.228856]
ionosphere;5;91.4722;[0, 0, 0.0984456, 0, 0, 0.0348769, 0.866678]
ThoraricSurgery;7;85.1064;[0, 1, 0, 0, 0, 0, 0]
ionosphere;3;92.3241;[0, 0, 0.182321, 0, 0, 0, 0.817679]
ThoraricSurgery;5;85.1064;[0, 0.929476, 0, 0, 0, 0, 0.0705243]
ionosphere;7;90.3333;[0, 0.0464482, 0.0288166, 0, 0, 0, 0.924735]
ThoraricSurgery;3;84.8936;[0, 0.419308, 0.135423, 0.272286, 0, 0, 0.172984]
pima;7;80.7339;[0.24496, 0.00751038, 0.249362, 0.0594054, 0.0480976, 0, 0.390665]
vehicle;5;79.1043;[0, 0, 0.342266, 0, 0, 0, 0.657734]
pima;3;84.3813;[0.300154, 0.0389681, 0.167947, 0.013349, 0.185488, 0, 0.294094]
pima;5;80.2137;[0.260746, 0.0895891, 0.223063, 0.0577042, 0, 0, 0.368898]
wdbc;5;95.9493;[0.120153, 0, 0.111338, 0, 0.224161, 0.00215351, 0.542195]
vehicle;3;80.5517;[0, 0, 0.366112, 0, 0, 0, 0.633888]
wdbc;3;96.4795;[0.049971, 0, 0.162799, 0, 0.136089, 0.00107911, 0.650062]
wdbc;7;96.3051;[0.104151, 0.00399651, 0.193303, 0, 0.125501, 0, 0.573048]
vehicle;7;77.4357;[0, 0, 0.224715, 0, 0, 0, 0.775285]
biodegradation;5;88.0576;[0.192217, 0, 0.0217756, 0.0489955, 0.0559, 0, 0.681112]
biodegradation;7;86.7299;[0.203196, 0, 0.0182129, 0.0461216, 0.0615743, 0, 0.670896]
biodegradation;3;89.7609;[0.180704, 0, 0.0526062, 0.0661344, 0, 0.0586124, 0.641943]
seismic-bumps;7;93.4207;[0.0187993, 0, 0.124321, 0, 0.5089, 0, 0.34798]
seismic-bumps;3;93.4207;[0.0709872, 0, 0.126397, 0, 0, 0.519233, 0.283382]
seismic-bumps;5;93.4207;[0.107838, 0, 0.092361, 0, 0, 0.491904, 0.307896]
