sep=;
Dataset;k;accuracy;individual accuracies;time
bupa;3;82.3143;[0.634706, 0.532353, 0.639118, 0.567941, 0.655, 0.557647, 0.656765];5984.33 s
bupa;5;78.0095;[0.660882, 0.527059, 0.658235, 0.580882, 0.667059, 0.568824, 0.677647];6015.96 s
bupa;7;77.9905;[0.682941, 0.551765, 0.678235, 0.580294, 0.689412, 0.586176, 0.684118];6015.98 s
sonar;5;87.8968;[0.7975, 0.424, 0.7865, 0.586, 0.7645, 0.633, 0.8305];11316.3 s
sonar;3;92.2778;[0.821, 0.4325, 0.818, 0.644, 0.8115, 0.682, 0.8165];12028.9 s
sonar;7;84.0873;[0.743, 0.4055, 0.7475, 0.5505, 0.7045, 0.6025, 0.7865];13599.4 s
ThoraricSurgery;7;85.3191;[0.845106, 0.851064, 0.843617, 0.818723, 0.851064, 0.851064, 0.848511];17408.2 s
ThoraricSurgery;3;87.6596;[0.812553, 0.827021, 0.820638, 0.82, 0.827447, 0.827447, 0.831702];18483.2 s
ionosphere;3;92.0741;[0.846571, 0.442857, 0.856, 0.534857, 0.528286, 0.528286, 0.902571];18910.6 s
ionosphere;7;90.0926;[0.832571, 0.430571, 0.836857, 0.581714, 0.577429, 0.577429, 0.891429];20196.9 s
pima;7;82.942;[0.725658, 0.6, 0.704079, 0.349737, 0.670658, 0.476447, 0.734737];23496.1 s
pima;5;84.3726;[0.716184, 0.594211, 0.688289, 0.364079, 0.664605, 0.474737, 0.714474];24714.5 s
ThoraricSurgery;5;85.7447;[0.834894, 0.850638, 0.838511, 0.760638, 0.851064, 0.851064, 0.843191];24719.8 s
ionosphere;5;91.7963;[0.843429, 0.416571, 0.842857, 0.584286, 0.582, 0.582, 0.896286];26498.9 s
pima;3;85.6779;[0.694868, 0.569474, 0.650263, 0.478289, 0.660263, 0.471184, 0.705921];30673.7 s
wdbc;5;97.2086;[0.930179, 0.50875, 0.92, 0.374107, 0.949464, 0.385357, 0.955357];35118.5 s
wdbc;3;98.4142;[0.924643, 0.545536, 0.921607, 0.374107, 0.948214, 0.388929, 0.955357];40227.8 s
wdbc;7;96.501;[0.930179, 0.540179, 0.924643, 0.374107, 0.945893, 0.388929, 0.953929];40365.5 s
vehicle;3;83.4541;[0.647857, 0.244524, 0.668452, 0.257619, 0.630476, 0.253571, 0.677143];41853.7 s
vehicle;7;79.2229;[0.635952, 0.242262, 0.662738, 0.257619, 0.650476, 0.254167, 0.6875];48057.8 s
vehicle;5;80.0504;[0.647381, 0.244048, 0.663095, 0.257619, 0.642857, 0.253333, 0.68631];48171.4 s
