Dataset;k;Accuracy;Individual accs;;;
biodegradation;3;0.753045;[0.707609, 0.658993, 0.678861, 0.644445, 0.658993, 0.658993, 0.753045];;;
biodegradation;5;0.778605;[0.669151, 0.597594, 0.650856, 0.643525, 0.597594, 0.597594, 0.778605];;;
biodegradation;7;0.773956;[0.69101, 0.601257, 0.687925, 0.653208, 0.601257, 0.601257, 0.773956];;;
bupa;3;0.575762;[0.522905, 0.545238, 0.544238, 0.577619, 0.560905, 0.596381, 0.600524];;;
bupa;5;0.571714;[0.52419, 0.551905, 0.574714, 0.589429, 0.566048, 0.566619, 0.589714];;;
bupa;7;0.602667;[0.556286, 0.564762, 0.556952, 0.591238, 0.597286, 0.583429, 0.620429];;;
ionosphere;3;0.83287;[0.758704, 0.521481, 0.723889, 0.567407, 0.563333, 0.563333, 0.83287];;;
ionosphere;5;0.805185;[0.710093, 0.53037, 0.690278, 0.591574, 0.588333, 0.588333, 0.805185];;;
ionosphere;7;0.769537;[0.684167, 0.566111, 0.653426, 0.644907, 0.641667, 0.641667, 0.769537];;;
pima;3;0.677375;[0.698686, 0.610866, 0.646824, 0.370712, 0.654561, 0.528248, 0.669851];;;
pima;5;0.668639;[0.688777, 0.644416, 0.649018, 0.44627, 0.646055, 0.561643, 0.673837];;;
pima;7;0.672074;[0.691526, 0.620866, 0.656017, 0.491212, 0.640043, 0.594869, 0.675167];;;
seismic-bumps;3;0.933628;[0.891153, 0.934207, 0.847673, 0.930304, 0.934207, 0.934207, 0.922654];;;
seismic-bumps;5;0.933551;[0.922972, 0.934207, 0.895584, 0.934207, 0.934207, 0.934207, 0.930655];;;
seismic-bumps;7;0.934207;[0.934169, 0.934207, 0.933744, 0.934207, 0.934207, 0.934207, 0.933705];;;
sonar;3;0.543333;[0.55, 0.428095, 0.52619, 0.460317, 0.577778, 0.482063, 0.571429];;;
sonar;5;0.568095;[0.551905, 0.43381, 0.54381, 0.478889, 0.600238, 0.514286, 0.569048];;;
sonar;7;0.578571;[0.56619, 0.457143, 0.562857, 0.525079, 0.605159, 0.545714, 0.586667];;;
ThoraricSurgery;3;0.851064;[0.851064, 0.851064, 0.851064, 0.851064, 0.851064, 0.851064, 0.851064];;;
ThoraricSurgery;5;0.851064;[0.851064, 0.851064, 0.851064, 0.851064, 0.851064, 0.851064, 0.851064];;;
ThoraricSurgery;7;0.851064;[0.851064, 0.851064, 0.851064, 0.851064, 0.851064, 0.851064, 0.851064];;;
vehicle;3;0.401072;[0.540788, 0.251195, 0.55219, 0.256964, 0.518033, 0.242355, 0.573892];;;
vehicle;5;0.425804;[0.523731, 0.251056, 0.534868, 0.256712, 0.496205, 0.249028, 0.571825];;;
vehicle;7;0.463692;[0.514864, 0.248398, 0.54178, 0.26427, 0.477258, 0.257913, 0.566256];;;
wdbc;3;0.916111;[0.89578, 0.482982, 0.87385, 0.370468, 0.903558, 0.383489, 0.92194];;;
wdbc;5;0.911569;[0.894591, 0.523684, 0.898899, 0.370468, 0.900556, 0.383519, 0.919747];;;
wdbc;7;0.909922;[0.890712, 0.573275, 0.904659, 0.370468, 0.893801, 0.387251, 0.918986];;;
