sep=;
Dataset;k;Accuracy;Individual accs
pima;5;0.743139;[0.731913, 0.580649, 0.665472, 0.355584, 0.710192, 0.46742, 0.734372]
pima;3;0.730045;[0.730615, 0.614199, 0.65768, 0.363238, 0.680159, 0.485548, 0.708225]
bupa;7;0.645905;[0.630095, 0.51619, 0.654095, 0.544095, 0.640762, 0.560857, 0.627714]
sonar;5;0.567302;[0.513968, 0.481746, 0.539683, 0.518254, 0.513651, 0.529286, 0.581587]
wdbc;3;0.934074;[0.914269, 0.575497, 0.913899, 0.370468, 0.932963, 0.388177, 0.931209]
pima;7;0.730435;[0.727948, 0.637749, 0.662978, 0.348883, 0.69729, 0.496679, 0.723879]
bupa;5;0.645524;[0.639143, 0.51619, 0.634857, 0.575905, 0.648762, 0.581238, 0.631238]
bupa;3;0.633571;[0.630952, 0.509524, 0.632857, 0.581238, 0.613238, 0.598571, 0.631429]
sonar;3;0.553730;[0.529683, 0.493175, 0.561587, 0.513492, 0.496032, 0.56119, 0.582063]
sonar;7;0.563492;[0.541587, 0.476508, 0.546825, 0.537302, 0.509048, 0.515476, 0.573968]
ionosphere;5;0.878056;[0.842593, 0.456944, 0.800741, 0.635093, 0.628333, 0.628333, 0.878056]
ionosphere;3;0.877778;[0.843889, 0.428704, 0.814167, 0.585278, 0.581667, 0.581667, 0.878056]
biodegradation;3;0.759399;[0.689638, 0.630125, 0.667752, 0.647435, 0.630125, 0.630125, 0.759399]
ionosphere;7;0.875833;[0.827222, 0.496481, 0.781574, 0.594167, 0.588333, 0.588333, 0.875833]
wdbc;7;0.930536;[0.90653, 0.556257, 0.916959, 0.370468, 0.919181, 0.388626, 0.930838]
wdbc;5;0.930322;[0.912515, 0.577719, 0.915906, 0.370468, 0.926374, 0.389103, 0.927329]
ThoraricSurgery;3;0.849787;[0.817021, 0.851064, 0.808511, 0.844681, 0.851064, 0.851064, 0.83617]
biodegradation;7;0.771806;[0.74374, 0.658993, 0.69115, 0.655992, 0.658993, 0.658993, 0.771806]
ThoraricSurgery;5;0.851064;[0.847872, 0.851064, 0.848936, 0.851064, 0.851064, 0.851064, 0.848936]
biodegradation;5;0.771474;[0.712844, 0.65533, 0.684026, 0.653836, 0.65533, 0.65533, 0.772323]
vehicle;3;0.436693;[0.618498, 0.24561, 0.620168, 0.25801, 0.617309, 0.256027, 0.646534]
seismic-bumps;3;0.917566;[0.925868, 0.856022, 0.917453, 0.899669, 0.856022, 0.856022, 0.916178]
vehicle;7;0.448685;[0.584619, 0.244767, 0.6049, 0.25801, 0.604377, 0.256447, 0.662339]
seismic-bumps;5;0.933821;[0.930346, 0.934207, 0.92609, 0.914827, 0.934207, 0.934207, 0.925754]
seismic-bumps;7;0.933860;[0.931505, 0.934207, 0.930723, 0.926405, 0.934207, 0.934207, 0.930115]
ThoraricSurgery;7;0.848936;[0.848936, 0.851064, 0.846809, 0.851064, 0.851064, 0.851064, 0.848936]
vehicle;5;0.423601;[0.598104, 0.246305, 0.605921, 0.25801, 0.612552, 0.256747, 0.659218]
