Dataset;k;Accuracy;Individual accs
biodegradation;3;0.795921;[0.724448, 0.622798, 0.673086, 0.628422, 0.622798, 0.622798, 0.797463]
biodegradation;5;0.809396;[0.72671, 0.622798, 0.694498, 0.628691, 0.622798, 0.622798, 0.811565]
biodegradation;7;0.80679;[0.728881, 0.622798, 0.695725, 0.632247, 0.622798, 0.622798, 0.811237]
bupa;3;0.631857;[0.647524, 0.503333, 0.63619, 0.580952, 0.633714, 0.576667, 0.663333]
bupa;5;0.671714;[0.646667, 0.5, 0.65219, 0.580952, 0.680476, 0.576667, 0.656857]
bupa;7;0.67419;[0.661333, 0.493333, 0.670476, 0.580952, 0.668952, 0.577143, 0.671048]
ionosphere;3;0.882778;[0.833519, 0.463981, 0.84787, 0.566944, 0.563333, 0.563333, 0.882778]
ionosphere;5;0.881944;[0.81537, 0.502315, 0.826296, 0.521759, 0.513333, 0.513333, 0.881944]
ionosphere;7;0.877222;[0.816204, 0.482685, 0.818796, 0.57213, 0.566667, 0.566667, 0.877222]
pima;3;0.701207;[0.699065, 0.560433, 0.639152, 0.498719, 0.645269, 0.466881, 0.698078]
pima;5;0.718455;[0.714753, 0.560433, 0.675654, 0.374892, 0.66699, 0.456457, 0.730615]
pima;7;0.722632;[0.723879, 0.651082, 0.687481, 0.368398, 0.666752, 0.502545, 0.727983]
seismic-bumps;3;0.934091;[0.908677, 0.934207, 0.914902, 0.908743, 0.934207, 0.934207, 0.907943]
seismic-bumps;5;0.933821;[0.914902, 0.934207, 0.921466, 0.92459, 0.934207, 0.934207, 0.915288]
seismic-bumps;7;0.933551;[0.924555, 0.934207, 0.927257, 0.933858, 0.934207, 0.934207, 0.917605]
sonar;3;0.582778;[0.551429, 0.428254, 0.565873, 0.507143, 0.585714, 0.596508, 0.586032]
sonar;5;0.58627;[0.576667, 0.45, 0.536984, 0.501587, 0.609048, 0.533571, 0.579683]
sonar;7;0.585159;[0.556349, 0.443651, 0.542698, 0.511111, 0.610794, 0.527063, 0.56619]
ThoraricSurgery;3;0.848511;[0.814894, 0.851064, 0.823404, 0.819149, 0.851064, 0.851064, 0.838298]
ThoraricSurgery;5;0.85;[0.842553, 0.851064, 0.842553, 0.778723, 0.851064, 0.851064, 0.844681]
ThoraricSurgery;7;0.851064;[0.846809, 0.851064, 0.846809, 0.817021, 0.851064, 0.851064, 0.851064]
vehicle;3;0.461783;[0.647051, 0.252723, 0.654444, 0.25801, 0.630643, 0.258401, 0.667429]
vehicle;5;0.41978;[0.632965, 0.250491, 0.661537, 0.25801, 0.634616, 0.258098, 0.67812]
vehicle;7;0.409415;[0.624419, 0.252584, 0.646518, 0.25801, 0.627306, 0.257096, 0.67469]
wdbc;3;0.944191;[0.918012, 0.525906, 0.909142, 0.370468, 0.942261, 0.384444, 0.950858]
wdbc;5;0.951813;[0.931189, 0.575497, 0.918616, 0.370468, 0.950936, 0.388177, 0.95269]
wdbc;7;0.955058;[0.929513, 0.577719, 0.916511, 0.370468, 0.957602, 0.389103, 0.952788]
