sep=;
Dataset;k;Accuracy;Weights;Individual accs
bupa;5;68.047619;[0.135154, 0.0587986, 0.220971, 0.0587986, 0.191076, 0.0587986, 0.276403];[0.666333, 0.545333, 0.688333, 0.582333, 0.689333, 0.581333, 0.687667]
bupa;3;66.052381;[0.0811476, 0.0732408, 0.157166, 0.123709, 0.223756, 0.0165047, 0.324475];[0.654, 0.524, 0.639, 0.577667, 0.676333, 0.552333, 0.647]
bupa;7;68.642857;[0.189047, 0.153306, 0.192646, 0.0340177, 0.155177, 0, 0.275807];[0.687333, 0.529333, 0.689, 0.582333, 0.706, 0.584333, 0.693333]
sonar;5;81.658730;[0.316496, 0.126485, 0, 0, 0.0855554, 0.0561151, 0.415349];[0.781667, 0.424444, 0.770556, 0.573889, 0.752778, 0.611111, 0.801111]
sonar;7;78.619048;[0.0519439, 0.15876, 0, 0, 0.301136, 0, 0.488161];[0.735, 0.395, 0.717222, 0.562778, 0.701111, 0.595, 0.767222]
sonar;3;81.912698;[0.173946, 0.0790633, 0.0528066, 0.128414, 0.211647, 0.0420799, 0.312043];[0.795556, 0.441111, 0.785556, 0.633333, 0.792778, 0.658889, 0.806667]
ionosphere;3;90.268519;[0, 0.0255392, 0.11975, 0, 0, 0, 0.854711];[0.852903, 0.456129, 0.858387, 0.554516, 0.595161, 0.550323, 0.91129]
pima;7;73.545628;[0.229655, 0.0696266, 0.161516, 0.131267, 0.103869, 0, 0.304067];[0.721765, 0.595735, 0.685441, 0.359559, 0.675294, 0.470735, 0.714265]
pima;3;69.615584;[0.211093, 0.124225, 0.0834583, 0.15495, 0.0972442, 0.104978, 0.224051];[0.690882, 0.601912, 0.648235, 0.497059, 0.654265, 0.467647, 0.687206]
pima;5;71.670303;[0.273131, 0.0716969, 0.172716, 0.106909, 0.102625, 0.0307376, 0.242185];[0.709706, 0.595735, 0.673382, 0.374706, 0.665882, 0.455735, 0.703676]
ionosphere;5;89.722222;[0.106299, 0, 0.00462309, 0.0849172, 4.0911e-09, 4.0911e-09, 0.804161];[0.853871, 0.428065, 0.849677, 0.563548, 0.611613, 0.58, 0.897742]
ionosphere;7;89.314815;[0, 0.00225282, 0.0571548, 0.0404673, 0.0191072, 0.0191072, 0.861911];[0.842903, 0.44129, 0.845161, 0.56871, 0.591613, 0.580968, 0.894194]
ThoraricSurgery;3;84.319149;[0, 0.20613, 0, 0.111066, 0.20613, 0.20613, 0.270545];[0.809524, 0.830714, 0.814524, 0.704762, 0.830476, 0.854286, 0.822857]
ThoraricSurgery;5;84.978723;[0.179775, 0.198034, 0, 0.101124, 0.198034, 0.198034, 0.125];[0.843571, 0.83119, 0.838333, 0.83119, 0.830476, 0.835238, 0.843333]
wdbc;3;95.472710;[0, 0, 0.244206, 0, 0.130928, 0.0281407, 0.596725];[0.9176, 0.561, 0.9232, 0.363, 0.9446, 0.3766, 0.956]
ThoraricSurgery;7;84.872340;[0, 0.0833333, 0, 0.25, 0.0833333, 0.0833333, 0.5];[0.847143, 0.852857, 0.845238, 0.839286, 0.830476, 0.831429, 0.850952]
wdbc;7;95.488304;[0, 0, 0.19772, 4.91983e-11, 0.22594, 0.0296683, 0.546671];[0.9252, 0.607, 0.9242, 0.363, 0.9402, 0.3776, 0.9504]
wdbc;5;95.138402;[0.0361261, 0.0358622, 0.197723, 0, 0.160302, 0, 0.569987];[0.926, 0.5982, 0.927, 0.363, 0.9448, 0.3766, 0.9516]
vehicle;3;46.648256;[0.237153, 0.0117598, 0.129137, 0.287365, 0.11389, 0.000591329, 0.220104];[0.664, 0.2476, 0.674267, 0.256933, 0.627467, 0.255467, 0.677467]
vehicle;5;47.225129;[0.106157, 0, 0.302916, 0.278533, 0.118227, 0, 0.194166];[0.653867, 0.251733, 0.673867, 0.256933, 0.6352, 0.254, 0.6752]
vehicle;7;47.192829;[0.167816, 0, 0.167065, 0.286428, 0.116024, 0, 0.262667];[0.643867, 0.253333, 0.668, 0.256933, 0.6536, 0.254267, 0.680267]
biodegradation;3;82.511676;[0.226046, 0.0367674, 0.00693259, 0.110268, 0.0367674, 0.0367674, 0.546451];[0.751064, 0.613191, 0.690426, 0.627447, 0.590638, 0.602021, 0.824574]
biodegradation;5;83.427237;[0.222493, 0.0259556, 0.0328665, 0.0897294, 0.0259556, 0.0259556, 0.577044];[0.759574, 0.636596, 0.71383, 0.638191, 0.605106, 0.605426, 0.836383]
biodegradation;7;83.871567;[0.221753, 0.0253422, 0.0116158, 0.107576, 0.0253421, 0.0253421, 0.583028];[0.754468, 0.636596, 0.712766, 0.635532, 0.605106, 0.625638, 0.838617]
seismic-bumps;3;93.370443;[0.18387, 0.0211084, 0.356814, 0.125865, 0.0211085, 0.0211084, 0.270125];[0.917931, 0.932888, 0.917672, 0.912414, 0.932759, 0.932888, 0.919957]
seismic-bumps;7;93.358768;[0.0833333, 0.183333, 0.2, 0, 0.183333, 0.183333, 0.166667];[0.930043, 0.932888, 0.930819, 0.931034, 0.932759, 0.932888, 0.92931]
seismic-bumps;5;93.397470;[0.00703931, 0.200129, 0.0783627, 0.0381908, 0.200129, 0.200129, 0.276021];[0.927026, 0.932888, 0.927845, 0.928103, 0.932759, 0.932888, 0.927629]
