sep=;
Dataset;k;Accuracy;Weights;Individual accs
bupa;5;60.000000;[0, 0.238644, 0.260322, 0.28842, 0.0228313, 0, 0.189782];[0.648667, 0.498667, 0.654667, 0.596, 0.666667, 0.600667, 0.662667]
bupa;3;60.000000;[0.0310721, 0.207369, 0.0512402, 0.337389, 0.235639, 0, 0.13729];[0.614, 0.489333, 0.628, 0.597333, 0.597333, 0.601333, 0.652]
bupa;7;65.666667;[0.178543, 0.0772615, 0.257112, 0.0772615, 0, 0.0772615, 0.33256];[0.660667, 0.544, 0.649333, 0.594, 0.67, 0.601333, 0.674]
sonar;5;59.272727;[0.222145, 0.0697717, 0, 0.255976, 0.289487, 0, 0.16262];[0.825556, 0.474444, 0.833333, 0.615556, 0.841111, 0.684444, 0.872222]
sonar;7;54.727273;[0.176445, 0.180515, 0.106539, 0.136404, 0.0859216, 0, 0.314176];[0.787778, 0.467778, 0.811111, 0.606667, 0.825556, 0.681111, 0.844444]
sonar;3;57.931818;[0, 0.109285, 0, 0.0391843, 0.148032, 0.104637, 0.598862];[0.882222, 0.47, 0.848889, 0.611111, 0.89, 0.688889, 0.887778]
ionosphere;5;89.893939;[0.144928, 0, 0.101449, 0, 0, 0, 0.753623];[0.889333, 0.447333, 0.862667, 0.553333, 0.560667, 0.563333, 0.930667]
pima;7;76.331002;[0.238546, 0.254703, 0, 0.22694, 0.135156, 0, 0.144656];[0.738235, 0.603824, 0.686471, 0.368824, 0.693824, 0.486471, 0.737059]
ionosphere;7;89.893939;[0, 0, 0.217391, 0, 0, 0, 0.782609];[0.890667, 0.444, 0.854, 0.562667, 0.571333, 0.569333, 0.926667]
ionosphere;3;91.595960;[0.0580958, 0.200053, 0.188811, 0.0104239, 0.0104239, 0.0104239, 0.521768];[0.887333, 0.397333, 0.858667, 0.544667, 0.502667, 0.582667, 0.944]
pima;3;70.111888;[0, 0.175436, 0.00921233, 0.172934, 0.20628, 0.0938639, 0.342273];[0.728235, 0.545, 0.681765, 0.421765, 0.670588, 0.480882, 0.721176]
pima;5;74.526807;[0.243893, 0.15743, 0, 0.190538, 0.0874645, 0.0645427, 0.256132];[0.746765, 0.586176, 0.685882, 0.413235, 0.684706, 0.473824, 0.739412]
