sep=;
Dataset;k;Accuracy;Weights;Individual accs
bupa;5;69.222222;[0, 0.319649, 0.177207, 0.372249, 0, 0, 0.130895];[0.648667, 0.498667, 0.654667, 0.596, 0.666667, 0.600667, 0.662667]
bupa;7;71.222222;[0.0361442, 0.317282, 0.153703, 0.360068, 0, 0, 0.132803];[0.660667, 0.544, 0.649333, 0.594, 0.67, 0.601333, 0.674]
bupa;3;60.000000;[0.143527, 0.287247, 0, 0.36941, 0.152117, 0, 0.047699];[0.614, 0.489333, 0.628, 0.597333, 0.597333, 0.601333, 0.652]
sonar;5;57.613636;[0.28329, 0.0799972, 0.00675194, 0.211953, 0, 0, 0.418007];[0.825556, 0.474444, 0.833333, 0.615556, 0.841111, 0.684444, 0.872222]
sonar;7;53.977273;[0.237652, 0.164988, 0, 0.105914, 0.189378, 0, 0.302068];[0.787778, 0.467778, 0.811111, 0.606667, 0.825556, 0.681111, 0.844444]
sonar;3;60.500000;[0.0364354, 0.134172, 0, 0.0370968, 0.0650539, 0.169181, 0.558062];[0.882222, 0.47, 0.848889, 0.611111, 0.89, 0.688889, 0.887778]
ionosphere;3;91.595960;[0, 0, 0.333333, 0, 0, 0, 0.666667];[0.887333, 0.397333, 0.858667, 0.544667, 0.502667, 0.582667, 0.944]
ionosphere;5;89.929293;[0, 0, 0.333333, 0, 0, 0, 0.666667];[0.889333, 0.447333, 0.862667, 0.553333, 0.560667, 0.563333, 0.930667]
ionosphere;7;89.929293;[0, 0, 0.238095, 0, 0, 0, 0.761905];[0.890667, 0.444, 0.854, 0.562667, 0.571333, 0.569333, 0.926667]
pima;7;75.104895;[0.240924, 0.233804, 0.000824517, 0.178198, 0, 0.0661313, 0.280118];[0.738235, 0.603824, 0.686471, 0.368824, 0.693824, 0.486471, 0.737059]
pima;5;71.440559;[0.22759, 0.180763, 0.0855174, 0.182783, 0, 0.111592, 0.211756];[0.746765, 0.586176, 0.685882, 0.413235, 0.684706, 0.473824, 0.739412]
pima;3;70.396270;[0.117801, 0.168116, 0.0812889, 0.1686, 0.106347, 0.0790363, 0.278811];[0.728235, 0.545, 0.681765, 0.421765, 0.670588, 0.480882, 0.721176]
ThoraricSurgery;3;84.937319;[0.111958, 0.111958, 0, 0.120164, 0.111958, 0.111958, 0.432005];[0.8055, 0.846, 0.799, 0.8345, 0.8365, 0.8185, 0.825]
ThoraricSurgery;5;84.094928;[0, 0, 0, 0.146341, 0, 0, 0.853659];[0.828, 0.846, 0.8375, 0.844, 0.7845, 0.8185, 0.8395]
wdbc;3;95.781109;[0.031687, 0.019842, 0.268909, 1.10728e-10, 0.146512, 0.0166327, 0.516417];[0.944, 0.5036, 0.9236, 0.3812, 0.9444, 0.4008, 0.9476]
ThoraricSurgery;7;85.362319;[0.136364, 0.136364, 0.136364, 0.181818, 0.136364, 0.136364, 0.136364];[0.8385, 0.846, 0.84, 0.8435, 0.8445, 0.8185, 0.8385]
wdbc;7;95.391304;[0, 0.0133113, 0.284956, 1.27379e-10, 0.255877, 0.0222346, 0.423621];[0.9436, 0.5912, 0.9092, 0.3812, 0.9456, 0.408, 0.9512]
wdbc;5;95.781109;[0.0166673, 0.0190061, 0.230728, 6.94217e-11, 0.332778, 0.0196294, 0.381191];[0.9456, 0.5652, 0.9176, 0.3812, 0.9484, 0.4044, 0.9516]
vehicle;3;48.588704;[0.0362368, 0, 0.263403, 0.306418, 0.159135, 0.00214849, 0.232658];[0.623514, 0.235946, 0.625946, 0.267838, 0.644595, 0.275946, 0.674865]
vehicle;7;45.009967;[0.205605, 0.00181926, 0.162749, 0.306122, 0.0715338, 0, 0.252171];[0.611351, 0.237297, 0.617838, 0.267838, 0.633514, 0.272162, 0.669189]
vehicle;5;43.138870;[0.282995, 0.117304, 0.163861, 0.0890731, 0.0619059, 0.0822113, 0.20265];[0.615946, 0.240811, 0.625135, 0.267838, 0.633243, 0.275946, 0.674595]
biodegradation;5;77.227170;[0.201653, 0.0502165, 0, 0, 0.0502164, 0.0502165, 0.647698];[0.707826, 0.573261, 0.674348, 0.641739, 0.624783, 0.598478, 0.779348]
biodegradation;7;76.844151;[0.159418, 0.0494267, 0.0385338, 0, 0.0494267, 0.0494267, 0.653768];[0.71587, 0.575435, 0.662391, 0.642826, 0.610435, 0.617609, 0.79413]
biodegradation;3;78.358113;[0.169053, 0.0397235, 0.0715486, 0.0151202, 0.0397235, 0.0397235, 0.625108];[0.697826, 0.531522, 0.663478, 0.642391, 0.62087, 0.537174, 0.773696]
seismic-bumps;5;93.441362;[0.176471, 0.163012, 0.156794, 0, 0.163012, 0.163012, 0.1777];[0.929397, 0.906466, 0.924224, 0.881207, 0.932845, 0.932759, 0.934052]
seismic-bumps;3;93.441362;[0.159548, 0.147991, 0.122055, 0.0442343, 0.147991, 0.147991, 0.230189];[0.923362, 0.906466, 0.919483, 0.865517, 0.932845, 0.932759, 0.929828]
seismic-bumps;7;93.441362;[0.181818, 0.0319865, 0.5, 1.61354e-14, 0.0319865, 0.0319865, 0.222222];[0.930776, 0.906466, 0.928793, 0.912414, 0.932845, 0.932759, 0.935345]
