sep=;
dataset;k;step;acc;weights;best_weights;best_acc
biodegradation;5;0;87.9905;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];87.9905
biodegradation;7;0;87.3238;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];87.3238
biodegradation;3;0;89.9714;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];89.9714
biodegradation;7;18;87.3333;[0, 0, 0, 0, 26, 13, 65];[0, 0, 0, 0, 26, 13, 65];87.3333
biodegradation;3;18;89.981;[0, 0, 0, 0, 26, 13, 65];[0, 0, 0, 0, 26, 13, 65];89.981
biodegradation;5;30;88;[0, 0, 0, 0, 52, 0, 52];[0, 0, 0, 0, 52, 0, 52];88
biodegradation;7;46;87.3429;[0, 0, 0, 13, 0, 13, 78];[0, 0, 0, 13, 0, 13, 78];87.3429
biodegradation;5;50;66.2667;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 52, 0, 52];88
biodegradation;7;50;66.2667;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 13, 0, 13, 78];87.3429
biodegradation;3;50;66.2667;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 26, 13, 65];89.981
biodegradation;3;81;90;[0, 0, 0, 26, 0, 0, 78];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;100;68.0952;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 13, 0, 13, 78];87.3429
biodegradation;5;100;68.4952;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 52, 0, 52];88
biodegradation;3;100;71.619;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;150;65.0857;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 13, 0, 13, 78];87.3429
biodegradation;5;150;64.9048;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 52, 0, 52];88
biodegradation;3;150;63.8857;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;200;66.2667;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 13, 0, 13, 78];87.3429
biodegradation;5;200;66.2667;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 0, 52, 0, 52];88
biodegradation;3;200;66.2667;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;250;87.3143;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 13, 0, 13, 78];87.3429
biodegradation;3;250;89.9905;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;250;88;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 0, 52, 0, 52];88
biodegradation;7;300;80.2667;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 13, 0, 13, 78];87.3429
biodegradation;3;300;85.419;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;300;81.981;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 0, 52, 0, 52];88
biodegradation;7;319;87.3524;[0, 0, 26, 13, 13, 0, 52];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;319;88.0095;[0, 0, 26, 13, 13, 0, 52];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;350;86.2476;[0, 0, 26, 39, 0, 13, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;350;80.7333;[0, 0, 26, 39, 0, 13, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;350;82.6381;[0, 0, 26, 39, 0, 13, 26];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;400;85.2857;[0, 0, 39, 13, 26, 13, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;400;80.2857;[0, 0, 39, 13, 26, 13, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;400;82.181;[0, 0, 39, 13, 26, 13, 13];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;450;86.2762;[0, 0, 52, 26, 0, 0, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;450;80.8095;[0, 0, 52, 26, 0, 0, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;450;82.7238;[0, 0, 52, 26, 0, 0, 26];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;500;66.2286;[0, 13, 0, 0, 0, 65, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;500;66.2286;[0, 13, 0, 0, 0, 65, 26];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;7;500;66.2286;[0, 13, 0, 0, 0, 65, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;550;66.2571;[0, 13, 0, 13, 39, 13, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;550;66.2571;[0, 13, 0, 13, 39, 13, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;550;66.2571;[0, 13, 0, 13, 39, 13, 26];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;7;600;65.1048;[0, 13, 0, 52, 13, 13, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
