sep=;
dataset;k;step;acc;weights;best_weights;best_acc
ionosphere;7;0;90.0286;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];90.0286
ionosphere;5;0;91.7429;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];91.7429
ionosphere;3;0;92.0286;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];92.0286
ionosphere;7;2;90.0571;[0, 0, 0, 0, 0, 26, 78];[0, 0, 0, 0, 0, 26, 78];90.0571
ionosphere;5;2;91.7714;[0, 0, 0, 0, 0, 26, 78];[0, 0, 0, 0, 0, 26, 78];91.7714
ionosphere;3;2;92.0571;[0, 0, 0, 0, 0, 26, 78];[0, 0, 0, 0, 0, 26, 78];92.0571
ionosphere;7;18;90.0857;[0, 0, 0, 0, 26, 13, 65];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;5;18;91.8;[0, 0, 0, 0, 26, 13, 65];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;18;92.0857;[0, 0, 0, 0, 26, 13, 65];[0, 0, 0, 0, 26, 13, 65];92.0857
ionosphere;3;20;92.1143;[0, 0, 0, 0, 26, 39, 39];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;50;64.1429;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;5;50;64.1429;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;50;64.1429;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;100;65.2571;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;5;100;64.9714;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;100;65.2571;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;150;63.2857;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;150;62.7143;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;150;65;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;200;64.1143;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;200;64.1143;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;200;64.1143;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;250;90.0286;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;250;92;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;300;84.6286;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;5;250;91.7143;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;300;89.1714;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;350;84.6;[0, 0, 26, 39, 0, 13, 26];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;5;300;85.7429;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;400;84.6286;[0, 0, 39, 13, 26, 13, 13];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;350;89.1429;[0, 0, 26, 39, 0, 13, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;350;85.7429;[0, 0, 26, 39, 0, 13, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;450;84.8857;[0, 0, 52, 26, 0, 0, 26];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;400;89.2;[0, 0, 39, 13, 26, 13, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;400;85.7714;[0, 0, 39, 13, 26, 13, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;500;64.0286;[0, 13, 0, 0, 0, 65, 26];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;450;90.8571;[0, 0, 52, 26, 0, 0, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;450;86.5714;[0, 0, 52, 26, 0, 0, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;550;64.4;[0, 13, 0, 13, 39, 13, 26];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;500;64.0286;[0, 13, 0, 0, 0, 65, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;500;64.0286;[0, 13, 0, 0, 0, 65, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;550;64.4;[0, 13, 0, 13, 39, 13, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;600;64.1143;[0, 13, 0, 52, 13, 13, 13];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;5;550;64.1143;[0, 13, 0, 13, 39, 13, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;650;85.4286;[0, 13, 13, 13, 13, 13, 39];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;600;63.2857;[0, 13, 0, 52, 13, 13, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;5;600;64.9714;[0, 13, 0, 52, 13, 13, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;700;90;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 0, 26, 13, 65];90.0857
ionosphere;3;650;89.7429;[0, 13, 13, 13, 13, 13, 39];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;720;90.1143;[0, 13, 26, 13, 0, 0, 52];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;650;86.2857;[0, 13, 13, 13, 13, 13, 39];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;750;65.3143;[0, 13, 26, 39, 26, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;700;92;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;800;84.9143;[0, 13, 52, 13, 0, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;700;91.7143;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;850;64.1143;[0, 26, 0, 0, 65, 0, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;750;65.3143;[0, 13, 26, 39, 26, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;900;64.0571;[0, 26, 0, 52, 0, 13, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;750;65.0286;[0, 13, 26, 39, 26, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;800;90.8857;[0, 13, 52, 13, 0, 0, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;950;67.5143;[0, 26, 13, 26, 13, 13, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;800;86.6286;[0, 13, 52, 13, 0, 0, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;850;64.1143;[0, 26, 0, 0, 65, 0, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1000;85.7143;[0, 26, 39, 0, 0, 0, 39];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;850;64.1143;[0, 26, 0, 0, 65, 0, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1050;67.4286;[0, 39, 0, 0, 39, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;900;63.2;[0, 26, 0, 52, 0, 13, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1100;85.5143;[0, 39, 13, 0, 26, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;900;64.9143;[0, 26, 0, 52, 0, 13, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;950;70.0571;[0, 26, 13, 26, 13, 13, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1150;84.9143;[0, 39, 39, 0, 13, 13, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
