sep=;
dataset;k;step;acc;weights;best_weights;best_acc
pima;3;0;83.1184;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];83.1184
pima;7;0;80.3553;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];80.3553
pima;5;0;80.25;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];80.25
pima;7;9;80.3684;[0, 0, 0, 0, 13, 0, 91];[0, 0, 0, 0, 13, 0, 91];80.3684
pima;7;12;80.4079;[0, 0, 0, 0, 13, 39, 52];[0, 0, 0, 0, 13, 39, 52];80.4079
pima;3;12;83.1316;[0, 0, 0, 0, 13, 39, 52];[0, 0, 0, 0, 13, 39, 52];83.1316
pima;5;12;80.2895;[0, 0, 0, 0, 13, 39, 52];[0, 0, 0, 0, 13, 39, 52];80.2895
pima;7;17;80.4342;[0, 0, 0, 0, 26, 0, 78];[0, 0, 0, 0, 26, 0, 78];80.4342
pima;3;17;83.1579;[0, 0, 0, 0, 26, 0, 78];[0, 0, 0, 0, 26, 0, 78];83.1579
pima;5;17;80.3158;[0, 0, 0, 0, 26, 0, 78];[0, 0, 0, 0, 26, 0, 78];80.3158
pima;3;18;83.1711;[0, 0, 0, 0, 26, 13, 65];[0, 0, 0, 0, 26, 13, 65];83.1711
pima;7;50;50.25;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 26, 0, 78];80.4342
pima;3;50;36.0395;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 26, 13, 65];83.1711
pima;5;50;50.25;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 26, 0, 78];80.3158
pima;7;84;80.4474;[0, 0, 0, 26, 0, 39, 39];[0, 0, 0, 26, 0, 39, 39];80.4474
pima;3;100;78.7632;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 26, 13, 65];83.1711
pima;7;100;72.3158;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 26, 0, 39, 39];80.4474
pima;5;100;71.8816;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 26, 0, 78];80.3158
pima;3;150;51.8553;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 26, 13, 65];83.1711
pima;5;150;56.9605;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 26, 0, 78];80.3158
pima;7;150;56.9605;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 26, 0, 39, 39];80.4474
pima;5;176;80.6974;[0, 0, 13, 0, 13, 39, 39];[0, 0, 13, 0, 13, 39, 39];80.6974
pima;3;176;83.7105;[0, 0, 13, 0, 13, 39, 39];[0, 0, 13, 0, 13, 39, 39];83.7105
pima;5;182;80.75;[0, 0, 13, 0, 26, 26, 39];[0, 0, 13, 0, 26, 26, 39];80.75
pima;7;176;80.5395;[0, 0, 13, 0, 13, 39, 39];[0, 0, 13, 0, 13, 39, 39];80.5395
pima;5;187;81.3553;[0, 0, 13, 0, 39, 13, 39];[0, 0, 13, 0, 39, 13, 39];81.3553
pima;7;182;80.6053;[0, 0, 13, 0, 26, 26, 39];[0, 0, 13, 0, 26, 26, 39];80.6053
pima;3;200;72.5789;[0, 0, 13, 0, 91, 0, 0];[0, 0, 13, 0, 13, 39, 39];83.7105
pima;5;200;71.7895;[0, 0, 13, 0, 91, 0, 0];[0, 0, 13, 0, 39, 13, 39];81.3553
pima;7;200;70.6579;[0, 0, 13, 0, 91, 0, 0];[0, 0, 13, 0, 26, 26, 39];80.6053
pima;7;210;80.9211;[0, 0, 13, 13, 13, 26, 39];[0, 0, 13, 13, 13, 26, 39];80.9211
pima;3;250;83.1316;[0, 0, 13, 39, 0, 0, 52];[0, 0, 13, 0, 13, 39, 39];83.7105
pima;7;240;81.25;[0, 0, 13, 26, 26, 0, 39];[0, 0, 13, 26, 26, 0, 39];81.25
