sep=;
dataset;k;step;acc;weights;best_weights;best_acc
sonar;7;0;83.95;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];83.95
sonar;5;0;86.75;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];86.75
sonar;3;0;86.8;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];86.8
sonar;7;1;84.2;[0, 0, 0, 0, 0, 13, 91];[0, 0, 0, 0, 0, 13, 91];84.2
sonar;3;1;86.95;[0, 0, 0, 0, 0, 13, 91];[0, 0, 0, 0, 0, 13, 91];86.95
sonar;5;1;87.1;[0, 0, 0, 0, 0, 13, 91];[0, 0, 0, 0, 0, 13, 91];87.1
sonar;7;3;84.25;[0, 0, 0, 0, 0, 39, 65];[0, 0, 0, 0, 0, 39, 65];84.25
sonar;3;4;87.05;[0, 0, 0, 0, 0, 52, 52];[0, 0, 0, 0, 0, 52, 52];87.05
sonar;3;12;87.1;[0, 0, 0, 0, 13, 39, 52];[0, 0, 0, 0, 13, 39, 52];87.1
sonar;5;18;87.15;[0, 0, 0, 0, 26, 13, 65];[0, 0, 0, 0, 26, 13, 65];87.15
sonar;7;24;84.3;[0, 0, 0, 0, 39, 0, 65];[0, 0, 0, 0, 39, 0, 65];84.3
sonar;3;13;90.85;[0, 0, 0, 0, 13, 52, 39];[0, 0, 0, 0, 13, 52, 39];90.85
sonar;5;24;87.3;[0, 0, 0, 0, 39, 0, 65];[0, 0, 0, 0, 39, 0, 65];87.3
sonar;7;46;84.4;[0, 0, 0, 13, 0, 13, 78];[0, 0, 0, 13, 0, 13, 78];84.4
sonar;3;27;90.9;[0, 0, 0, 0, 39, 39, 26];[0, 0, 0, 0, 39, 39, 26];90.9
sonar;3;28;91.35;[0, 0, 0, 0, 39, 52, 13];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;7;50;66.7;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 13, 0, 13, 78];84.4
sonar;5;50;69.25;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 39, 0, 65];87.3
sonar;3;50;73.4;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 39, 52, 13];91.35
