sep=;
dataset;k;step;acc;weights;best_weights;best_acc
vehicle;3;0;81.619;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];81.619
vehicle;5;0;79.7619;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];79.7619
vehicle;7;0;78.2024;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];78.2024
vehicle;3;1;81.7024;[0, 0, 0, 0, 0, 13, 91];[0, 0, 0, 0, 0, 13, 91];81.7024
vehicle;5;1;79.7738;[0, 0, 0, 0, 0, 13, 91];[0, 0, 0, 0, 0, 13, 91];79.7738
vehicle;7;2;78.2857;[0, 0, 0, 0, 0, 26, 78];[0, 0, 0, 0, 0, 26, 78];78.2857
vehicle;5;2;79.8333;[0, 0, 0, 0, 0, 26, 78];[0, 0, 0, 0, 0, 26, 78];79.8333
vehicle;3;4;81.7381;[0, 0, 0, 0, 0, 52, 52];[0, 0, 0, 0, 0, 52, 52];81.7381
vehicle;7;5;78.3095;[0, 0, 0, 0, 0, 65, 39];[0, 0, 0, 0, 0, 65, 39];78.3095
vehicle;5;5;79.881;[0, 0, 0, 0, 0, 65, 39];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;3;47;81.7619;[0, 0, 0, 13, 0, 26, 65];[0, 0, 0, 13, 0, 26, 65];81.7619
vehicle;3;50;32.0357;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 13, 0, 26, 65];81.7619
vehicle;7;50;32.0476;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 0, 65, 39];78.3095
vehicle;5;50;31.8095;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;3;81;81.7857;[0, 0, 0, 26, 0, 0, 78];[0, 0, 0, 26, 0, 0, 78];81.7857
vehicle;3;100;78.369;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 26, 0, 0, 78];81.7857
vehicle;7;100;75.1071;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 0, 65, 39];78.3095
vehicle;5;100;74.0833;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;3;150;29.5833;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 26, 0, 0, 78];81.7857
vehicle;7;131;78.3214;[0, 0, 0, 52, 0, 13, 39];[0, 0, 0, 52, 0, 13, 39];78.3214
vehicle;3;176;81.8095;[0, 0, 13, 0, 13, 39, 39];[0, 0, 13, 0, 13, 39, 39];81.8095
vehicle;3;177;81.8214;[0, 0, 13, 0, 13, 52, 26];[0, 0, 13, 0, 13, 52, 26];81.8214
vehicle;3;183;82.0357;[0, 0, 13, 0, 26, 39, 26];[0, 0, 13, 0, 26, 39, 26];82.0357
vehicle;7;150;29.9286;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 52, 0, 13, 39];78.3214
vehicle;5;150;29.4524;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;3;191;82.0476;[0, 0, 13, 0, 52, 0, 39];[0, 0, 13, 0, 52, 0, 39];82.0476
vehicle;3;200;77.5476;[0, 0, 13, 0, 91, 0, 0];[0, 0, 13, 0, 52, 0, 39];82.0476
vehicle;7;187;78.5595;[0, 0, 13, 0, 39, 13, 39];[0, 0, 13, 0, 39, 13, 39];78.5595
vehicle;7;200;74.1071;[0, 0, 13, 0, 91, 0, 0];[0, 0, 13, 0, 39, 13, 39];78.5595
vehicle;5;200;73.0357;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;3;250;81.6667;[0, 0, 13, 39, 0, 0, 52];[0, 0, 13, 0, 52, 0, 39];82.0476
vehicle;3;252;82.1548;[0, 0, 13, 39, 0, 26, 26];[0, 0, 13, 39, 0, 26, 26];82.1548
vehicle;7;219;78.869;[0, 0, 13, 13, 39, 0, 39];[0, 0, 13, 13, 39, 0, 39];78.869
vehicle;3;299;82.1786;[0, 0, 26, 0, 26, 13, 39];[0, 0, 26, 0, 26, 13, 39];82.1786
vehicle;3;300;82.1429;[0, 0, 26, 0, 26, 26, 26];[0, 0, 26, 0, 26, 13, 39];82.1786
vehicle;5;250;79.7857;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;7;250;78.2738;[0, 0, 13, 39, 0, 0, 52];[0, 0, 13, 13, 39, 0, 39];78.869
vehicle;3;321;82.3571;[0, 0, 26, 13, 13, 26, 26];[0, 0, 26, 13, 13, 26, 26];82.3571
vehicle;3;326;82.4762;[0, 0, 26, 13, 26, 26, 13];[0, 0, 26, 13, 26, 26, 13];82.4762
vehicle;3;344;82.4881;[0, 0, 26, 26, 26, 13, 13];[0, 0, 26, 26, 26, 13, 13];82.4881
vehicle;3;350;82.0476;[0, 0, 26, 39, 0, 13, 26];[0, 0, 26, 26, 26, 13, 13];82.4881
vehicle;3;381;83.1071;[0, 0, 39, 0, 26, 13, 26];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;7;299;78.9524;[0, 0, 26, 0, 26, 13, 39];[0, 0, 26, 0, 26, 13, 39];78.9524
vehicle;5;300;79.119;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;7;300;78.7738;[0, 0, 26, 0, 26, 26, 26];[0, 0, 26, 0, 26, 13, 39];78.9524
vehicle;7;303;78.9881;[0, 0, 26, 0, 39, 0, 39];[0, 0, 26, 0, 39, 0, 39];78.9881
vehicle;3;400;81.4405;[0, 0, 39, 13, 26, 13, 13];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;3;450;81.4643;[0, 0, 52, 26, 0, 0, 26];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;5;350;79.4524;[0, 0, 26, 39, 0, 13, 26];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;7;350;77.4286;[0, 0, 26, 39, 0, 13, 26];[0, 0, 26, 0, 39, 0, 39];78.9881
vehicle;3;500;74.9524;[0, 13, 0, 0, 0, 65, 26];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;7;376;79.131;[0, 0, 39, 0, 13, 13, 39];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;5;400;78.1548;[0, 0, 39, 13, 26, 13, 13];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;7;400;77.5238;[0, 0, 39, 13, 26, 13, 13];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;3;550;77.5714;[0, 13, 0, 13, 39, 13, 26];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;5;450;78.0595;[0, 0, 52, 26, 0, 0, 26];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;7;450;75.2024;[0, 0, 52, 26, 0, 0, 26];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;3;600;73.9881;[0, 13, 0, 52, 13, 13, 13];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;5;500;73.2738;[0, 13, 0, 0, 0, 65, 26];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;7;500;71.5357;[0, 13, 0, 0, 0, 65, 26];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;3;650;81.6786;[0, 13, 13, 13, 13, 13, 39];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;5;550;73.0714;[0, 13, 0, 13, 39, 13, 26];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;3;700;81.6071;[0, 13, 26, 0, 0, 13, 52];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;7;550;74.1071;[0, 13, 0, 13, 39, 13, 26];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;3;750;79.1548;[0, 13, 26, 39, 26, 0, 0];[0, 0, 39, 0, 26, 13, 26];83.1071
vehicle;3;764;83.2143;[0, 13, 39, 0, 26, 0, 26];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;5;600;70.8214;[0, 13, 0, 52, 13, 13, 13];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;3;800;81.4405;[0, 13, 52, 13, 0, 0, 26];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;7;600;71.0476;[0, 13, 0, 52, 13, 13, 13];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;3;850;77.5238;[0, 26, 0, 0, 65, 0, 13];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;5;650;79.8095;[0, 13, 13, 13, 13, 13, 39];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;3;900;27.9762;[0, 26, 0, 52, 0, 13, 13];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;7;650;78.2143;[0, 13, 13, 13, 13, 13, 39];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;3;950;82.1548;[0, 26, 13, 26, 13, 13, 13];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;3;1000;80.5595;[0, 26, 39, 0, 0, 0, 39];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;5;700;79.75;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 0, 0, 65, 39];79.881
vehicle;5;701;80.0238;[0, 13, 26, 0, 0, 26, 39];[0, 13, 26, 0, 0, 26, 39];80.0238
vehicle;7;700;78.1905;[0, 13, 26, 0, 0, 13, 52];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;3;1050;76.7024;[0, 39, 0, 0, 39, 0, 26];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;3;1100;81.4405;[0, 39, 13, 0, 26, 0, 26];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;7;750;74.631;[0, 13, 26, 39, 26, 0, 0];[0, 0, 39, 0, 13, 13, 39];79.131
vehicle;5;750;75.6071;[0, 13, 26, 39, 26, 0, 0];[0, 13, 26, 0, 0, 26, 39];80.0238
vehicle;7;760;79.1667;[0, 13, 39, 0, 13, 0, 39];[0, 13, 39, 0, 13, 0, 39];79.1667
vehicle;3;1150;81.4524;[0, 39, 39, 0, 13, 13, 0];[0, 13, 39, 0, 26, 0, 26];83.2143
vehicle;5;800;77.9881;[0, 13, 52, 13, 0, 0, 26];[0, 13, 26, 0, 0, 26, 39];80.0238
vehicle;7;800;75.131;[0, 13, 52, 13, 0, 0, 26];[0, 13, 39, 0, 13, 0, 39];79.1667
